"Strains","gene","aa_percent","id_ori","serotype","source","fasta_name","gene_class","species"
"Streptococcus_pneumoniae_23BL","pfbA",87.4,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae R6"
"Streptococcus_pneumoniae_23BL","nanB",98.9,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Exoenzyme","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","psaA",99.7,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Nutritional/Metabolic factor","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","iga",92.2,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Immune modulation","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","pavB/pfbB",99.1,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae R6"
"Streptococcus_pneumoniae_23BL","cbpD",98.7,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","hasC",84.8,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Immune modulation","Streptococcus pyogenes M1 GAS"
"Streptococcus_pneumoniae_23BL","srtC-3/srtD",100,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","srtC-2/srtC",95.6,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","srtC-1/srtB",93.6,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","rrgC",97.2,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","rrgB",99.8,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","rrgA",98.5,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","gndA (non-streptococcal)",70.6,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Nutritional/Metabolic factor","Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044"
"Streptococcus_pneumoniae_23BL","cpsI (non-streptococcal)",72.6,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Immune modulation","Enterococcus faecalis V583"
"Streptococcus_pneumoniae_23BL","cps4D",90.3,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Immune modulation","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","cpsC",86.5,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Immune modulation","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","cps4B",86.8,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Immune modulation","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","cps4A",94.6,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Immune modulation","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","hysA",98.5,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Exoenzyme","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","lytA",99.7,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Exoenzyme","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","ply",100,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Exotoxin","Streptococcus pneumoniae TIGR4"
"Streptococcus_pneumoniae_23BL","srtG1",100,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae Taiwan19F-14"
"Streptococcus_pneumoniae_23BL","pitB",100,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae Taiwan19F-14"
"Streptococcus_pneumoniae_23BL","sipA",100,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae Taiwan19F-14"
"Streptococcus_pneumoniae_23BL","pavA",99.3,"Streptococcus pneumoniae_IDN_23BL","19F","IPD","Streptococcus_pneumoniae_23BL.fasta","Adherence","Streptococcus pneumoniae R6"
